State,District,Year,District Year,Dem%,Rep%,Oth%,M%,Winner
KS,4,2004,2004,34.4,64.2,1.4,29.8,Bush
KY,1,2004,2004,36,63.4,0.7,27.4,Bush
KY,2,2004,2004,34.3,65,0.7,30.7,Bush
KY,3,2004,2004,51,49,0,-2,Kerry
KY,4,2004,2004,36,63.2,0.8,27.2,Bush
KY,5,2004,2004,38.8,60.5,0.7,21.8,Bush
KY,6,2004,2004,41,58.2,0.8,17.1,Bush
LA,1,2004,2004,28.5,70.5,1,42.1,Bush
LA,2,2004,2004,75.2,24.1,0.8,-51.1,Kerry
LA,3,2004,2004,40.9,57.7,1.4,16.8,Bush
LA,4,2004,2004,40,59,1.1,19,Bush
LA,5,2004,2004,36.9,61.9,1.3,25,Bush
LA,6,2004,2004,40.2,59,0.9,18.8,Bush
LA,7,2004,2004,39.2,59.7,1.1,20.5,Bush
ME,1,2004,2004,55.1,43.1,1.8,-11.9,Kerry
ME,2,2004,2004,52,46.1,1.9,-5.8,Kerry
MD,1,2004,2004,36.4,62.5,1.1,26.1,Bush
MD,2,2004,2004,54.3,44.6,1.2,-9.7,Kerry
MD,3,2004,2004,53.7,45,1.3,-8.7,Kerry
MD,4,2004,2004,78.4,21,0.7,-57.4,Kerry
MD,5,2004,2004,57.4,41.8,0.9,-15.6,Kerry
MD,6,2004,2004,34.2,64.7,1.1,30.5,Bush
MD,7,2004,2004,72.6,26.3,1.1,-46.3,Kerry
MD,8,2004,2004,68.8,30.1,1.1,-38.7,Kerry
MA,1,2004,2004,63.1,35.4,1.5,-27.7,Kerry
MA,2,2004,2004,59.2,39.6,1.2,-19.6,Kerry
MA,3,2004,2004,58.9,39.8,1.3,-19.2,Kerry
MA,4,2004,2004,65.3,33.5,1.2,-31.9,Kerry
MA,5,2004,2004,57.2,41.5,1.4,-15.7,Kerry
MA,6,2004,2004,57.9,40.9,1.2,-17,Kerry
MA,7,2004,2004,65.7,33,1.3,-32.8,Kerry
MA,8,2004,2004,79.1,19.2,1.7,-59.8,Kerry
MA,9,2004,2004,63.1,35.8,1.1,-27.4,Kerry
MA,10,2004,2004,55.6,43.3,1.1,-12.3,Kerry
MI,1,2004,2004,45.6,53.4,1.1,7.8,Bush
MI,2,2004,2004,39,60.2,0.9,21.2,Bush
MI,3,2004,2004,40.1,59.3,0.6,19.2,Bush
MI,4,2004,2004,44.2,55,0.8,10.8,Bush
MI,5,2004,2004,58.8,40.6,0.6,-18.2,Kerry
MI,6,2004,2004,46.2,52.9,0.9,6.6,Bush
